Category: All categories

Month,"""kubernetes"": (Worldwide)"
2015-01,1
2015-02,1
2015-03,2
2015-04,2
2015-05,2
2015-06,3
2015-07,4
2015-08,3
2015-09,4
2015-10,4
2015-11,4
2015-12,4
2016-01,4
2016-02,6
2016-03,6
2016-04,6
2016-05,7
2016-06,8
2016-07,8
2016-08,9
2016-09,11
2016-10,13
2016-11,15
2016-12,15
2017-01,16
2017-02,18
2017-03,21
2017-04,22
2017-05,22
2017-06,25
2017-07,25
2017-08,27
2017-09,31
2017-10,32
2017-11,37
2017-12,34
2018-01,41
2018-02,46
2018-03,47
2018-04,48
2018-05,52
2018-06,53
2018-07,52
2018-08,55
2018-09,54
2018-10,61
2018-11,61
2018-12,55
2019-01,62
2019-02,69
2019-03,69
2019-04,69
2019-05,70
2019-06,72
2019-07,76
2019-08,76
2019-09,79
2019-10,79
2019-11,75
2019-12,66
2020-01,75
2020-02,78
2020-03,71
2020-04,77
2020-05,72
2020-06,77
2020-07,81
2020-08,75
2020-09,76
2020-10,55
2020-11,50
2020-12,48
2021-01,50
2021-02,55
2021-03,58
2021-04,55
2021-05,54
2021-06,63
2021-07,58
2021-08,56
2021-09,60
2021-10,60
2021-11,60
2021-12,54
2022-01,80
2022-02,90
2022-03,92
2022-04,99
2022-05,92
2022-06,97
2022-07,91
2022-08,97
2022-09,95
2022-10,90
2022-11,90
2022-12,82
2023-01,89
2023-02,97
2023-03,95
2023-04,84
2023-05,85
2023-06,86
2023-07,88
2023-08,89
2023-09,91
2023-10,86
2023-11,88
2023-12,75
2024-01,90
2024-02,100
2024-03,94
2024-04,96
2024-05,91
2024-06,87
2024-07,87
2024-08,87
2024-09,86
2024-10,86
