Category: All categories

Month,"""managed kubernetes"": (Worldwide)"
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,1
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,14
2017-11,36
2017-12,20
2018-01,18
2018-02,24
2018-03,24
2018-04,23
2018-05,27
2018-06,22
2018-07,13
2018-08,20
2018-09,23
2018-10,22
2018-11,17
2018-12,25
2019-01,13
2019-02,30
2019-03,25
2019-04,29
2019-05,40
2019-06,34
2019-07,31
2019-08,32
2019-09,39
2019-10,31
2019-11,46
2019-12,32
2020-01,38
2020-02,41
2020-03,46
2020-04,30
2020-05,45
2020-06,43
2020-07,41
2020-08,40
2020-09,32
2020-10,40
2020-11,15
2020-12,25
2021-01,30
2021-02,18
2021-03,38
2021-04,36
2021-05,37
2021-06,41
2021-07,26
2021-08,39
2021-09,56
2021-10,55
2021-11,51
2021-12,47
2022-01,41
2022-02,56
2022-03,49
2022-04,58
2022-05,52
2022-06,56
2022-07,46
2022-08,59
2022-09,59
2022-10,60
2022-11,62
2022-12,57
2023-01,62
2023-02,63
2023-03,69
2023-04,70
2023-05,60
2023-06,83
2023-07,73
2023-08,58
2023-09,68
2023-10,73
2023-11,82
2023-12,61
2024-01,84
2024-02,100
2024-03,76
2024-04,88
2024-05,88
2024-06,88
2024-07,82
2024-08,89
2024-09,77
2024-10,76
2024-11,74
